id,Épica,Tipo,Historia de usuario,Criterios de aceptación,Valor (1–5),Riesgo (1–5),Puntos,Prioridad,¿Trata datos personales?,¿Requisitos de seguridad?,Sprint previsto
TD-01,Fundación técnica,Deuda técnica,"Configurar arquitectura base, entornos y CI para sostener entregas verificables","La aplicación compila, ejecuta pruebas y análisis estático en CI",5,5,2,1,No,Sí: protección de secretos,1
TD-02,Fundación técnica,Deuda técnica,Implementar una capa de datos con caché para ofrecer lectura básica sin conexión,"La lista usa repositorio de datos, conserva la última respuesta válida y permite reintentar",5,5,2,2,No,Sí: almacenamiento local seguro,2
US-01,Acceso,Historia,Como deportista amateur quiero registrarme con mi correo para crear una cuenta,docs/sprints/criterios/US-01.feature,5,5,5,3,Sí: nombre y correo,Sí: autenticación y contraseña,1
US-02,Acceso,Historia,Como usuario registrado quiero iniciar sesión con mi correo y contraseña para acceder a la aplicación,docs/sprints/criterios/US-02.feature,5,5,3,4,Sí: correo e identificador de cuenta,Sí: autenticación y sesión,1
US-06,Geolocalización,Historia,Como deportista amateur quiero ver instalaciones cercanas en un mapa para ubicarlas rápidamente,"Mapa con marcadores, estados vacío, sin conexión y error; definir Gherkin antes del Sprint 3",5,5,8,5,Sí: ubicación precisa,Sí: permiso de ubicación,3
US-07,Geolocalización,Historia,Como usuario quiero decidir si comparto mi ubicación para conservar el control de mis datos,"La app explica el uso, solicita permiso en contexto y funciona con ubicación manual si se rechaza",5,5,3,6,Sí: ubicación precisa,Sí: consentimiento y minimización,3
US-08,Disponibilidad,Historia,Como deportista amateur quiero consultar horarios disponibles por fecha para elegir un turno,"Calendario con disponibilidad real, vacío, sin conexión y error; definir Gherkin antes del Sprint 3",5,5,5,7,No,No,3
US-09,Reservas,Historia,Como deportista amateur quiero reservar un horario disponible para asegurar el uso de la instalación,"La reserva bloquea el turno una sola vez y confirma fecha, hora, instalación y usuario",5,5,8,8,Sí: cuenta y datos de reserva,Sí: autorización e integridad,4
US-03,Descubrimiento,Historia,Como deportista amateur quiero ver una lista de instalaciones para comparar opciones,docs/sprints/criterios/US-03.feature,5,4,5,9,Sí: ubicación aproximada cuando se calcula distancia,Sí: permiso y minimización de ubicación,2
US-10,Reservas,Historia,Como deportista amateur quiero recibir una confirmación de reserva para saber que fue registrada,"La confirmación muestra código, fecha, hora, instalación y estado sin datos de otros usuarios",5,4,3,10,Sí: cuenta y datos de reserva,Sí: control de acceso,4
US-11,Reservas,Historia,Como usuario quiero consultar mis reservas para organizar mis actividades,La lista solo muestra reservas del usuario autenticado y cubre cuatro estados de interfaz,5,4,5,11,Sí: historial de reservas,Sí: autorización,4
